Captain America,220,Good,Earth,Human,Soldier,Valiant,M,5,5,5,1,6,6
Incredible Hulk,370,Good,Earth,Human,Creature,Angry,M,6,8,5,1,6,6
Iron Man,240,Good,Earth,Human,Adventurer,Arrogant,M,5,4,6,6,4,6
Silver Surfer,320,Good,Zenn-La,Zenn-Lavian,Herald,Valiant,M,5,5,6,4,4,7
Spider-Man,160,Good,Earth,Human,Crime Fighter,Tricky,M,5,5,6,1,4,4
Abomination,320,Evil,Earth,Human,Creature,Ferocious,M,6,8,5,1,7,6
Doctor Doom,245,Evil,Earth,Human,Ruler,Egomanical,M,5,4,6,6,5,6
Red Skull,190,Evil,Earth,Clone,Mastermind,Ruthless,M,5,5,5,5,4,3
Thanos,360,Evil,Titan,Eternal,Conqueror,Nihilist,M,5,6,6,6,6,7
Venom,150,Evil,Earth,Symbiote,Vigilante,Ferocious,M,5,5,6,1,6,4
